time,src_ip,cart_name,confidence,attack_phase,store_event,correct
80.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.0,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.01,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.01,10.1.1.27,ATTACKER-Cart-5,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.01,10.1.1.24,ATTACKER-Cart-2,0.95,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.3,10.1.1.30,ATTACKER-Cart-8,0.68,Phase1-UDP-Small-Flood,Lunch-Rush,True
80.4,10.1.1.31,ATTACKER-Cart-9,0.75,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.0,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.01,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.01,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.01,10.1.1.31,ATTACKER-Cart-9,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.01,10.1.1.28,ATTACKER-Cart-6,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
81.01,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.01,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.01,10.1.1.27,ATTACKER-Cart-5,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.01,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.01,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
82.01,10.1.1.23,ATTACKER-Cart-1,0.96,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.0,10.1.1.28,ATTACKER-Cart-6,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.0,10.1.1.29,ATTACKER-Cart-7,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.0,10.1.1.26,ATTACKER-Cart-4,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.01,10.1.1.31,ATTACKER-Cart-9,0.86,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.01,10.1.1.25,ATTACKER-Cart-3,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.01,10.1.1.30,ATTACKER-Cart-8,0.86,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.01,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
83.01,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
84.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
84.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
84.0,10.1.1.29,ATTACKER-Cart-7,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
84.0,10.1.1.24,ATTACKER-Cart-2,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
84.01,10.1.1.23,ATTACKER-Cart-1,0.97,Phase1-UDP-Small-Flood,Lunch-Rush,True
84.01,10.1.1.27,ATTACKER-Cart-5,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
84.01,10.1.1.22,ATTACKER-Cart-0,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
84.01,10.1.1.28,ATTACKER-Cart-6,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.0,10.1.1.27,ATTACKER-Cart-5,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.0,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.21,10.1.1.31,ATTACKER-Cart-9,0.95,Phase1-UDP-Small-Flood,Lunch-Rush,True
85.3,10.1.1.30,ATTACKER-Cart-8,0.9,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
86.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.27,ATTACKER-Cart-5,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
87.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.31,ATTACKER-Cart-9,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.30,ATTACKER-Cart-8,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
88.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.0,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.0,10.1.1.24,ATTACKER-Cart-2,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.01,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
89.33,10.1.1.30,ATTACKER-Cart-8,0.62,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.01,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.01,10.1.1.31,ATTACKER-Cart-9,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.02,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.05,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
90.14,10.1.1.30,ATTACKER-Cart-8,0.95,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.0,10.1.1.25,ATTACKER-Cart-3,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.0,10.1.1.24,ATTACKER-Cart-2,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.01,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.01,10.1.1.23,ATTACKER-Cart-1,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
91.05,10.1.1.22,ATTACKER-Cart-0,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.0,10.1.1.24,ATTACKER-Cart-2,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.01,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.01,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.02,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.03,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
92.08,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.01,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.01,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.01,10.1.1.30,ATTACKER-Cart-8,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.01,10.1.1.24,ATTACKER-Cart-2,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.04,10.1.1.29,ATTACKER-Cart-7,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
93.06,10.1.1.23,ATTACKER-Cart-1,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.0,10.1.1.30,ATTACKER-Cart-8,0.86,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.01,10.1.1.24,ATTACKER-Cart-2,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
94.02,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.0,10.1.1.27,ATTACKER-Cart-5,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.01,10.1.1.31,ATTACKER-Cart-9,0.96,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.01,10.1.1.23,ATTACKER-Cart-1,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.04,10.1.1.24,ATTACKER-Cart-2,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.04,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
95.3,10.1.1.30,ATTACKER-Cart-8,0.9,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.03,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
96.06,10.1.1.25,ATTACKER-Cart-3,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.0,10.1.1.26,ATTACKER-Cart-4,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.0,10.1.1.24,ATTACKER-Cart-2,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.02,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.02,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
97.02,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.0,10.1.1.31,ATTACKER-Cart-9,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.02,10.1.1.23,ATTACKER-Cart-1,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.02,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
98.12,10.1.1.24,ATTACKER-Cart-2,0.84,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.0,10.1.1.23,ATTACKER-Cart-1,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.01,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.01,10.1.1.26,ATTACKER-Cart-4,0.95,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.01,10.1.1.24,ATTACKER-Cart-2,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
99.03,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.0,10.1.1.25,ATTACKER-Cart-3,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.01,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.01,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.02,10.1.1.23,ATTACKER-Cart-1,0.96,Phase1-UDP-Small-Flood,Lunch-Rush,True
100.03,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.0,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.0,10.1.1.23,ATTACKER-Cart-1,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.01,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.01,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
101.01,10.1.1.25,ATTACKER-Cart-3,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.0,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.01,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.02,10.1.1.31,ATTACKER-Cart-9,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
102.03,10.1.1.23,ATTACKER-Cart-1,0.96,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.0,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.0,10.1.1.30,ATTACKER-Cart-8,0.88,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.0,10.1.1.23,ATTACKER-Cart-1,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.04,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
103.04,10.1.1.31,ATTACKER-Cart-9,0.98,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.0,10.1.1.24,ATTACKER-Cart-2,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.0,10.1.1.22,ATTACKER-Cart-0,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.0,10.1.1.29,ATTACKER-Cart-7,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.01,10.1.1.28,ATTACKER-Cart-6,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.01,10.1.1.25,ATTACKER-Cart-3,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.01,10.1.1.23,ATTACKER-Cart-1,0.95,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.03,10.1.1.31,ATTACKER-Cart-9,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
104.09,10.1.1.30,ATTACKER-Cart-8,0.99,Phase1-UDP-Small-Flood,Lunch-Rush,True
105.0,10.1.1.27,ATTACKER-Cart-5,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
105.0,10.1.1.26,ATTACKER-Cart-4,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
105.0,10.1.1.30,ATTACKER-Cart-8,1.0,Phase1-UDP-Small-Flood,Lunch-Rush,True
